Order ID,Order Date,City,Product,Qty,Amount,Channel,Status
KC-10423,2026-03-02,Delhi,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10424,2026-03-20,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10425,2026-01-16,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10426,2026-02-13,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10427,2026-04-26,Delhi,Elaichi Chai 250g,2,798,Website,Delivered
KC-10428,2026-01-10,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10429,2026-01-18,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10430,2026-03-23,Delhi,Elaichi Chai 250g,2,₹798,Instagram,Returned
KC-10431,2026-02-25,Delhi,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10432,2026-04-08,Delhi,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10433,2026-02-10,Delhi,Masala Chai 250g,2,₹698,Instagram,Returned
KC-10434,2026-03-19,Delhi,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10435,2026-01-23,Delhi,Kulhad Gift Box,3,"₹3,897",Amazon,Delivered
KC-10436,2026-01-13,Delhi,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10437,2026-01-11,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10438,2026-04-04,Mumbai,Elaichi Chai 250g,2,₹798,Website,Delivered
KC-10439,2026-02-11,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10440,2026-04-02,Delhi,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10441,2026-03-31,Pune,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10442,2026-03-14,Delhi,Masala Chai 250g,4,1396,Amazon,Delivered
KC-10443,2026-04-07,Mumbai,Kulhad Gift Box,4,5196,Amazon,Delivered
KC-10444,2026-04-22,Delhi,Kulhad Gift Box,4,5196,Amazon,Delivered
KC-10445,2026-02-06,Delhi,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10446,2026-04-01,Pune,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10447,2026-02-10,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10448,2026-01-13,Delhi,Masala Chai 250g,2,698,Website,Delivered
KC-10449,2026-03-01,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10450,2026-02-15,Delhi,Elaichi Chai 250g,4,1596,Website,Delivered
KC-10451,2026-02-18,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10452,2026-02-08,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10453,2026-01-17,Delhi,Masala Chai 250g,3,1047,Instagram,Delivered
KC-10454,2026-03-08,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10455,2026-02-10,Delhi,Elaichi Chai 250g,2,₹798,Website,Delivered
KC-10456,2026-02-17,Mumbai,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10457,2026-04-21,Pune,Kulhad Gift Box,2,2598,Instagram,Returned
KC-10458,2026-03-22,Pune,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10459,2026-03-27,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10460,2026-04-20,Delhi,Masala Chai 250g,4,"₹1,396",Amazon,Delivered
KC-10461,2026-03-21,Mumbai,Elaichi Chai 250g,1,399,Website,Delivered
KC-10462,2026-01-21,Delhi,Masala Chai 250g,1,349,Website,Delivered
KC-10463,2026-04-04,Delhi,Elaichi Chai 250g,3,"₹1,197",Instagram,Delivered
KC-10464,2026-02-12,Delhi,Elaichi Chai 250g,3,"₹1,197",Amazon,Returned
KC-10465,2026-04-25,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10466,2026-02-21,Mumbai,Masala Chai 250g,1,349,Amazon,Delivered
KC-10467,2026-02-02,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10468,2026-01-06,Mumbai,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10469,2026-01-03,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10470,2026-03-17,Delhi,Kulhad Gift Box,3,3897,Amazon,Delivered
KC-10471,2026-02-21,Delhi,Elaichi Chai 250g,3,1197,Instagram,Delivered
KC-10472,2026-01-11,Pune,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10473,2026-04-14,Delhi,Elaichi Chai 250g,1,399,Website,Delivered
KC-10474,2026-04-02,Mumbai,Elaichi Chai 250g,1,399,Website,Delivered
KC-10475,2026-04-17,Delhi,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10476,2026-03-19,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10477,2026-02-18,Delhi,Kulhad Gift Box,2,2598,Website,Delivered
KC-10478,2026-04-09,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10479,2026-01-29,Mumbai,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10480,2026-04-09,Mumbai,Elaichi Chai 250g,4,"₹1,596",Instagram,Delivered
KC-10481,2026-03-18,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10482,2026-01-05,Pune,Masala Chai 250g,1,₹349,Website,Delivered
KC-10483,2026-03-17,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10484,2026-03-05,Delhi,Masala Chai 250g,3,"₹1,047",Website,Delivered
KC-10485,2026-02-17,Mumbai,Masala Chai 250g,1,349,Website,Delivered
KC-10486,2026-02-09,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10487,2026-01-06,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Returned
KC-10488,2026-04-08,Mumbai,Kulhad Gift Box,4,5196,Instagram,Delivered
KC-10489,2026-01-14,Delhi,Elaichi Chai 250g,3,"₹1,197",Website,Returned
KC-10490,2026-03-04,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10491,2026-03-25,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10492,2026-04-10,Delhi,Kulhad Gift Box,2,2598,Amazon,Delivered
KC-10493,2026-03-17,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10494,2026-01-31,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10495,2026-04-26,Delhi,Elaichi Chai 250g,4,1596,Amazon,Delivered
KC-10496,2026-01-27,Pune,Masala Chai 250g,2,698,Website,Delivered
KC-10497,2026-01-15,Delhi,Masala Chai 250g,1,349,Instagram,Delivered
KC-10498,2026-04-17,Delhi,Masala Chai 250g,1,349,Instagram,Delivered
KC-10499,2026-04-24,Delhi,Elaichi Chai 250g,1,399,Amazon,Delivered
KC-10500,2026-03-29,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10501,2026-01-19,Mumbai,Masala Chai 250g,1,349,Instagram,Delivered
KC-10502,2026-03-18,Pune,Elaichi Chai 250g,1,399,Website,Delivered
KC-10503,2026-02-22,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10504,2026-02-18,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10505,2026-04-16,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10506,2026-04-27,Delhi,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10507,2026-03-16,Pune,Masala Chai 250g,2,698,Instagram,Delivered
KC-10508,2026-02-14,Delhi,Masala Chai 250g,1,₹349,Amazon,Returned
KC-10509,2026-03-28,Delhi,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10510,2026-03-29,Delhi,Masala Chai 250g,2,698,Amazon,Returned
KC-10511,2026-02-01,Delhi,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10512,2026-01-02,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10513,2026-01-25,Delhi,Kulhad Gift Box,1,1299,Website,Delivered
KC-10514,2026-02-09,Pune,Kulhad Gift Box,1,"₹1,299",Instagram,Returned
KC-10515,2026-02-07,Mumbai,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10516,2026-01-21,Delhi,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10517,2026-04-09,Delhi,Masala Chai 250g,4,"₹1,396",Instagram,Delivered
KC-10518,2026-02-04,Delhi,Kulhad Gift Box,3,"₹3,897",Instagram,Delivered
KC-10519,2026-03-23,Delhi,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10520,2026-01-23,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10521,2026-04-09,Delhi,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10522,2026-02-22,Mumbai,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10523,2026-01-19,Delhi,Masala Chai 250g,2,698,Website,Delivered
KC-10524,2026-02-02,Pune,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10525,2026-03-29,Pune,Elaichi Chai 250g,1,₹399,Amazon,Returned
KC-10526,2026-04-24,Mumbai,Kulhad Gift Box,4,"₹5,196",Amazon,Delivered
KC-10527,2026-01-28,Delhi,Masala Chai 250g,3,"₹1,047",Instagram,Delivered
KC-10528,2026-03-10,Delhi,Kulhad Gift Box,4,"₹5,196",Instagram,Delivered
KC-10529,2026-01-01,Delhi,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10530,2026-02-06,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10531,2026-03-09,Delhi,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10532,2026-04-02,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10533,2026-04-09,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10534,2026-04-28,Delhi,Elaichi Chai 250g,3,"₹1,197",Amazon,Delivered
KC-10535,2026-03-22,Delhi,Elaichi Chai 250g,2,₹798,Website,Delivered
KC-10536,2026-04-20,Delhi,Masala Chai 250g,1,349,Amazon,Delivered
KC-10537,2026-04-24,Delhi,Elaichi Chai 250g,2,₹798,Website,Delivered
KC-10538,2026-02-06,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10539,2026-02-12,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10540,2026-01-27,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10541,2026-03-30,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10542,2026-04-11,Delhi,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10543,2026-02-02,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10544,2026-03-23,Delhi,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10545,2026-02-06,Delhi,Masala Chai 250g,1,₹349,Website,Returned
KC-10546,2026-03-19,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10547,2026-01-21,Delhi,Elaichi Chai 250g,2,798,Amazon,Delivered
KC-10548,2026-03-27,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10549,2026-03-10,Pune,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10550,2026-03-09,Delhi,Masala Chai 250g,3,"₹1,047",Website,Delivered
KC-10551,2026-04-09,Delhi,Elaichi Chai 250g,4,"₹1,596",Amazon,Delivered
KC-10552,2026-04-10,Delhi,Kulhad Gift Box,3,"₹3,897",Amazon,Delivered
KC-10553,2026-04-13,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10554,2026-04-09,Delhi,Masala Chai 250g,1,₹349,Instagram,Returned
KC-10555,2026-03-07,Delhi,Elaichi Chai 250g,1,399,Website,Delivered
KC-10556,2026-02-17,Delhi,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10557,2026-04-14,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10558,2026-04-05,Pune,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10559,2026-04-07,Delhi,Elaichi Chai 250g,4,"₹1,596",Instagram,Returned
KC-10560,2026-02-04,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10561,2026-04-16,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10562,2026-03-30,Pune,Elaichi Chai 250g,1,₹399,Instagram,Returned
KC-10563,2026-02-03,Delhi,Masala Chai 250g,2,698,Website,Delivered
KC-10564,2026-02-09,Delhi,Masala Chai 250g,1,349,Amazon,Delivered
KC-10565,2026-02-17,Delhi,Elaichi Chai 250g,2,798,Instagram,Returned
KC-10566,2026-02-26,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10567,2026-03-17,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10568,2026-02-03,Delhi,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10569,2026-03-07,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10570,2026-03-15,Delhi,Elaichi Chai 250g,2,798,Instagram,Delivered
KC-10571,2026-03-18,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10572,2026-02-02,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10573,2026-01-30,Delhi,Elaichi Chai 250g,1,399,Amazon,Delivered
KC-10574,2026-04-16,Mumbai,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10575,2026-04-28,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10576,2026-01-26,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10577,2026-01-09,Delhi,Kulhad Gift Box,3,"₹3,897",Instagram,Delivered
KC-10578,2026-04-23,Delhi,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10579,2026-04-16,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10580,2026-02-05,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10581,2026-03-15,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10582,2026-03-04,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10583,2026-04-23,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10584,2026-04-04,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10585,2026-03-23,Mumbai,Elaichi Chai 250g,2,798,Amazon,Delivered
KC-10586,2026-01-20,Mumbai,Masala Chai 250g,1,₹349,Amazon,Returned
KC-10587,2026-03-23,Delhi,Masala Chai 250g,3,"₹1,047",Instagram,Delivered
KC-10588,2026-02-23,Delhi,Kulhad Gift Box,2,2598,Website,Delivered
KC-10589,2026-03-20,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10590,2026-01-23,Pune,Masala Chai 250g,2,₹698,Website,Delivered
KC-10591,2026-04-20,Pune,Elaichi Chai 250g,4,"₹1,596",Instagram,Delivered
KC-10592,2026-04-28,Pune,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10593,2026-02-16,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10594,2026-02-01,Pune,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10595,2026-03-23,Delhi,Elaichi Chai 250g,1,399,Instagram,Delivered
KC-10596,2026-01-07,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10597,2026-03-05,Delhi,Elaichi Chai 250g,1,399,Website,Returned
KC-10598,2026-04-06,Delhi,Masala Chai 250g,3,1047,Amazon,Delivered
KC-10599,2026-04-06,Delhi,Elaichi Chai 250g,3,1197,Website,Delivered
KC-10600,2026-01-25,Delhi,Kulhad Gift Box,2,2598,Amazon,Returned
KC-10601,2026-02-17,Delhi,Masala Chai 250g,3,1047,Instagram,Delivered
KC-10602,2026-02-23,Delhi,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10603,2026-03-05,Delhi,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10604,2026-04-13,Delhi,Kulhad Gift Box,2,2598,Website,Delivered
KC-10605,2026-03-19,Delhi,Masala Chai 250g,2,₹698,Website,Returned
KC-10606,2026-02-27,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10607,2026-01-19,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10608,2026-01-22,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10609,2026-02-10,Delhi,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10610,2026-01-12,Delhi,Masala Chai 250g,1,349,Website,Delivered
KC-10611,2026-02-24,Delhi,Masala Chai 250g,3,"₹1,047",Instagram,Delivered
KC-10612,2026-03-28,Delhi,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10613,2026-03-06,Delhi,Kulhad Gift Box,2,2598,Amazon,Delivered
KC-10614,2026-02-02,Delhi,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10615,2026-04-15,Delhi,Elaichi Chai 250g,3,"₹1,197",Amazon,Delivered
KC-10616,2026-02-06,Pune,Elaichi Chai 250g,1,₹399,Instagram,Returned
KC-10617,2026-01-28,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10618,2026-04-04,Delhi,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10619,2026-01-11,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10620,2026-03-30,Delhi,Masala Chai 250g,4,"₹1,396",Instagram,Delivered
KC-10621,2026-03-15,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10622,2026-03-05,Delhi,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10623,2026-02-09,Delhi,Masala Chai 250g,3,1047,Amazon,Delivered
KC-10624,2026-04-14,Delhi,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10625,2026-02-25,Delhi,Elaichi Chai 250g,1,399,Instagram,Returned
KC-10626,2026-03-08,Pune,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10627,2026-03-02,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10628,2026-02-23,Delhi,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10629,2026-04-06,Delhi,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10630,2026-01-11,Mumbai,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10631,2026-02-21,Delhi,Masala Chai 250g,1,349,Amazon,Delivered
KC-10632,2026-04-22,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10633,2026-01-22,Mumbai,Masala Chai 250g,1,349,Instagram,Delivered
KC-10634,2026-02-12,Pune,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10635,2026-04-30,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10636,2026-01-29,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10637,2026-03-17,Mumbai,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10638,2026-01-10,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10639,2026-03-23,Delhi,Kulhad Gift Box,3,"₹3,897",Amazon,Delivered
KC-10640,2026-01-31,Mumbai,Kulhad Gift Box,4,"₹5,196",Amazon,Delivered
KC-10641,2026-02-22,Delhi,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10642,2026-01-06,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10643,2026-04-16,Mumbai,Masala Chai 250g,4,"₹1,396",Instagram,Delivered
KC-10644,2026-04-10,Delhi,Masala Chai 250g,2,₹698,Instagram,Returned
KC-10645,2026-04-24,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10646,2026-03-10,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10647,2026-03-13,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10648,2026-04-02,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10649,2026-02-27,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10650,2026-01-17,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10651,2026-02-10,Delhi,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10652,2026-02-21,Pune,Elaichi Chai 250g,3,"₹1,197",Instagram,Delivered
KC-10653,2026-01-27,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10654,2026-02-11,Delhi,Kulhad Gift Box,3,"₹3,897",Instagram,Delivered
KC-10655,2026-03-11,Delhi,Elaichi Chai 250g,1,399,Instagram,Delivered
KC-10656,2026-03-18,Delhi,Masala Chai 250g,1,349,Amazon,Delivered
KC-10657,2026-02-26,Mumbai,Masala Chai 250g,1,349,Amazon,Returned
KC-10658,2026-01-29,Delhi,Masala Chai 250g,2,698,Instagram,Returned
KC-10659,2026-02-19,Pune,Masala Chai 250g,2,₹698,Website,Delivered
KC-10660,2026-03-29,Pune,Masala Chai 250g,1,349,Instagram,Delivered
KC-10661,2026-04-22,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10662,2026-04-11,Delhi,Kulhad Gift Box,2,2598,Instagram,Delivered
KC-10663,2026-02-18,Mumbai,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10664,2026-03-11,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10665,2026-04-06,Delhi,Elaichi Chai 250g,4,"₹1,596",Website,Delivered
KC-10666,2026-02-19,Delhi,Masala Chai 250g,1,349,Amazon,Delivered
KC-10667,2026-02-02,Delhi,Kulhad Gift Box,2,2598,Instagram,Returned
KC-10668,2026-03-30,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Returned
KC-10669,2026-03-26,Delhi,Masala Chai 250g,3,"₹1,047",Website,Delivered
KC-10670,2026-03-27,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10671,2026-04-17,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Returned
KC-10672,2026-01-23,Delhi,Kulhad Gift Box,2,2598,Instagram,Delivered
KC-10673,2026-02-19,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10674,2026-01-08,Delhi,Masala Chai 250g,2,698,Website,Returned
KC-10675,2026-02-15,Pune,Masala Chai 250g,1,349,Website,Delivered
KC-10676,2026-01-26,Delhi,Elaichi Chai 250g,3,1197,Amazon,Delivered
KC-10677,2026-04-07,Pune,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10678,2026-03-06,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10679,2026-04-27,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10680,2026-03-21,Delhi,Masala Chai 250g,3,"₹1,047",Amazon,Delivered
KC-10681,2026-02-20,Delhi,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10682,2026-03-01,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10683,2026-01-13,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10684,2026-04-01,Pune,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10685,2026-03-29,Pune,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10686,2026-02-04,Delhi,Elaichi Chai 250g,4,"₹1,596",Website,Delivered
KC-10687,2026-04-04,Delhi,Masala Chai 250g,4,1396,Website,Delivered
KC-10688,2026-02-04,Delhi,Masala Chai 250g,2,698,Website,Delivered
KC-10689,2026-01-09,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10690,2026-01-11,Delhi,Elaichi Chai 250g,3,"₹1,197",Website,Returned
KC-10691,2026-01-07,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10692,2026-04-03,Mumbai,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10693,2026-04-10,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Returned
KC-10694,2026-04-14,Delhi,Masala Chai 250g,1,349,Instagram,Delivered
KC-10695,2026-03-14,Pune,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10696,2026-04-04,Delhi,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10697,2026-01-05,Delhi,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10698,2026-02-07,Pune,Masala Chai 250g,4,"₹1,396",Amazon,Delivered
KC-10699,2026-04-14,Delhi,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10700,2026-01-14,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10701,2026-03-19,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10702,2026-04-21,Delhi,Kulhad Gift Box,3,"₹3,897",Instagram,Returned
KC-10703,2026-03-30,Mumbai,Masala Chai 250g,4,"₹1,396",Instagram,Delivered
KC-10704,2026-04-20,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10705,2026-04-02,Delhi,Masala Chai 250g,1,349,Amazon,Delivered
KC-10706,2026-03-31,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10707,2026-01-29,Delhi,Masala Chai 250g,1,349,Instagram,Delivered
KC-10708,2026-02-04,Delhi,Elaichi Chai 250g,2,798,Amazon,Delivered
KC-10709,2026-01-18,Mumbai,Elaichi Chai 250g,4,"₹1,596",Amazon,Delivered
KC-10710,2026-04-14,Delhi,Kulhad Gift Box,2,2598,Instagram,Delivered
