Order ID,Order Date,City,Product,Qty,Amount,Channel,Status
KC-10459,2026-01-06,Bengaluru,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10460,2026-04-24,Mumbai,Elaichi Chai 250g,1,399,Website,Delivered
KC-10461,2026-03-13,Mumbai,Masala Chai 250g,1,₹349,Website,Delivered
KC-10462,2026-03-06,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10463,2026-01-15,Mumbai,Elaichi Chai 250g,4,1596,Instagram,Delivered
KC-10464,2026-02-20,Bengaluru,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10465,2026-04-03,Mumbai,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10466,2026-02-08,Mumbai,Masala Chai 250g,3,1047,Instagram,Delivered
KC-10467,2026-02-18,Mumbai,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10468,2026-01-24,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10469,2026-01-25,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10470,2026-02-02,Bengaluru,Elaichi Chai 250g,4,"₹1,596",Website,Delivered
KC-10471,2026-03-13,Pune,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10472,2026-02-25,Pune,Elaichi Chai 250g,4,1596,Website,Delivered
KC-10473,2026-03-26,Mumbai,Elaichi Chai 250g,3,"₹1,197",Instagram,Delivered
KC-10474,2026-02-26,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10475,2026-04-30,Bengaluru,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10476,2026-04-06,Bengaluru,Kulhad Gift Box,1,1299,Website,Delivered
KC-10477,2026-03-20,Mumbai,Masala Chai 250g,4,1396,Website,Delivered
KC-10478,2026-02-19,Mumbai,Elaichi Chai 250g,2,₹798,Website,Delivered
KC-10479,2026-02-04,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10480,2026-01-31,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10481,2026-02-17,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10482,2026-04-04,Mumbai,Elaichi Chai 250g,1,399,Instagram,Delivered
KC-10483,2026-01-09,Pune,Elaichi Chai 250g,4,"₹1,596",Amazon,Returned
KC-10484,2026-03-13,Bengaluru,Masala Chai 250g,1,349,Instagram,Delivered
KC-10485,2026-04-08,Delhi,Kulhad Gift Box,3,3897,Website,Delivered
KC-10486,2026-03-17,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10487,2026-04-21,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10488,2026-02-05,Mumbai,Kulhad Gift Box,2,2598,Amazon,Delivered
KC-10489,2026-04-09,Mumbai,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10490,2026-04-30,Mumbai,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10491,2026-01-24,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10492,2026-02-05,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10493,2026-04-04,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10494,2026-03-16,Mumbai,Masala Chai 250g,2,₹698,Website,Delivered
KC-10495,2026-01-17,Pune,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10496,2026-01-14,Delhi,Kulhad Gift Box,2,2598,Website,Delivered
KC-10497,2026-01-04,Bengaluru,Masala Chai 250g,4,"₹1,396",Amazon,Delivered
KC-10498,2026-04-16,Bengaluru,Masala Chai 250g,1,₹349,Website,Delivered
KC-10499,2026-03-12,Delhi,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10500,2026-02-10,Pune,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10501,2026-02-08,Bengaluru,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10502,2026-04-22,Mumbai,Elaichi Chai 250g,2,798,Website,Delivered
KC-10503,2026-03-15,Mumbai,Masala Chai 250g,1,349,Instagram,Delivered
KC-10504,2026-02-17,Mumbai,Masala Chai 250g,3,"₹1,047",Instagram,Delivered
KC-10505,2026-04-03,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10506,2026-01-06,Mumbai,Elaichi Chai 250g,1,399,Instagram,Delivered
KC-10507,2026-02-26,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10508,2026-01-29,Bengaluru,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10509,2026-03-14,Bengaluru,Elaichi Chai 250g,1,399,Amazon,Delivered
KC-10510,2026-01-03,Mumbai,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10511,2026-03-16,Mumbai,Elaichi Chai 250g,1,399,Instagram,Returned
KC-10512,2026-04-28,Pune,Masala Chai 250g,1,₹349,Website,Delivered
KC-10513,2026-01-18,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10514,2026-02-18,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10515,2026-03-22,Delhi,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10516,2026-02-17,Mumbai,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10517,2026-03-10,Mumbai,Elaichi Chai 250g,1,399,Instagram,Delivered
KC-10518,2026-01-10,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10519,2026-01-26,Mumbai,Masala Chai 250g,2,698,Website,Delivered
KC-10520,2026-03-04,Delhi,Kulhad Gift Box,4,"₹5,196",Instagram,Delivered
KC-10521,2026-02-27,Delhi,Elaichi Chai 250g,2,₹798,Instagram,Returned
KC-10522,2026-04-05,Mumbai,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10523,2026-03-01,Bengaluru,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10524,2026-03-09,Mumbai,Elaichi Chai 250g,4,"₹1,596",Website,Delivered
KC-10525,2026-03-14,Mumbai,Masala Chai 250g,1,349,Amazon,Delivered
KC-10526,2026-01-06,Bengaluru,Masala Chai 250g,1,349,Website,Delivered
KC-10527,2026-01-26,Bengaluru,Elaichi Chai 250g,2,798,Amazon,Delivered
KC-10528,2026-02-06,Mumbai,Kulhad Gift Box,3,3897,Website,Delivered
KC-10529,2026-03-26,Bengaluru,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10530,2026-03-25,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10531,2026-02-15,Mumbai,Kulhad Gift Box,2,2598,Instagram,Delivered
KC-10532,2026-01-06,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10533,2026-02-21,Mumbai,Elaichi Chai 250g,1,399,Amazon,Delivered
KC-10534,2026-03-14,Pune,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10535,2026-04-25,Mumbai,Masala Chai 250g,1,349,Website,Returned
KC-10536,2026-01-31,Pune,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10537,2026-03-26,Mumbai,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10538,2026-03-07,Delhi,Kulhad Gift Box,3,"₹3,897",Amazon,Delivered
KC-10539,2026-04-10,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10540,2026-04-19,Bengaluru,Masala Chai 250g,1,349,Website,Delivered
KC-10541,2026-03-12,Bengaluru,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10542,2026-01-12,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10543,2026-01-01,Bengaluru,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10544,2026-04-01,Mumbai,Masala Chai 250g,2,698,Website,Delivered
KC-10545,2026-01-10,Mumbai,Elaichi Chai 250g,3,"₹1,197",Instagram,Delivered
KC-10546,2026-04-28,Delhi,Masala Chai 250g,1,349,Website,Delivered
KC-10547,2026-04-14,Bengaluru,Masala Chai 250g,2,₹698,Instagram,Returned
KC-10548,2026-02-14,Mumbai,Kulhad Gift Box,4,"₹5,196",Amazon,Delivered
KC-10549,2026-01-02,Mumbai,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10550,2026-03-02,Mumbai,Kulhad Gift Box,3,3897,Instagram,Delivered
KC-10551,2026-03-05,Mumbai,Kulhad Gift Box,4,"₹5,196",Instagram,Delivered
KC-10552,2026-02-13,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10553,2026-02-24,Delhi,Masala Chai 250g,3,"₹1,047",Instagram,Delivered
KC-10554,2026-02-26,Mumbai,Masala Chai 250g,1,₹349,Website,Delivered
KC-10555,2026-04-17,Delhi,Elaichi Chai 250g,1,399,Instagram,Delivered
KC-10556,2026-03-14,Delhi,Elaichi Chai 250g,1,399,Website,Delivered
KC-10557,2026-04-01,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10558,2026-01-20,Mumbai,Masala Chai 250g,2,698,Website,Delivered
KC-10559,2026-03-01,Mumbai,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10560,2026-04-14,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10561,2026-04-20,Mumbai,Elaichi Chai 250g,2,798,Website,Delivered
KC-10562,2026-01-20,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10563,2026-03-30,Bengaluru,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10564,2026-04-08,Bengaluru,Elaichi Chai 250g,1,399,Website,Delivered
KC-10565,2026-01-29,Mumbai,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10566,2026-03-16,Mumbai,Elaichi Chai 250g,1,399,Instagram,Delivered
KC-10567,2026-04-12,Mumbai,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10568,2026-04-13,Mumbai,Kulhad Gift Box,1,"₹1,299",Amazon,Returned
KC-10569,2026-03-02,Mumbai,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10570,2026-04-06,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10571,2026-03-04,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10572,2026-01-17,Bengaluru,Kulhad Gift Box,1,"₹1,299",Amazon,Returned
KC-10573,2026-02-20,Mumbai,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10574,2026-02-18,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10575,2026-01-23,Bengaluru,Masala Chai 250g,1,349,Instagram,Delivered
KC-10576,2026-01-11,Mumbai,Kulhad Gift Box,2,2598,Amazon,Delivered
KC-10577,2026-02-26,Mumbai,Kulhad Gift Box,2,"₹2,598",Amazon,Returned
KC-10578,2026-04-24,Delhi,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10579,2026-01-15,Bengaluru,Kulhad Gift Box,3,"₹3,897",Instagram,Delivered
KC-10580,2026-01-20,Delhi,Elaichi Chai 250g,3,"₹1,197",Instagram,Delivered
KC-10581,2026-02-25,Mumbai,Masala Chai 250g,1,349,Website,Returned
KC-10582,2026-02-18,Pune,Masala Chai 250g,2,₹698,Website,Delivered
KC-10583,2026-01-07,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10584,2026-03-02,Mumbai,Elaichi Chai 250g,4,1596,Amazon,Returned
KC-10585,2026-03-19,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10586,2026-03-26,Mumbai,Masala Chai 250g,2,₹698,Website,Delivered
KC-10587,2026-04-07,Mumbai,Kulhad Gift Box,1,"₹1,299",Amazon,Returned
KC-10588,2026-04-03,Mumbai,Elaichi Chai 250g,1,399,Website,Delivered
KC-10589,2026-03-12,Delhi,Elaichi Chai 250g,4,"₹1,596",Website,Returned
KC-10590,2026-01-18,Delhi,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10591,2026-03-09,Mumbai,Elaichi Chai 250g,4,"₹1,596",Website,Delivered
KC-10592,2026-01-14,Mumbai,Kulhad Gift Box,1,1299,Website,Delivered
KC-10593,2026-02-13,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10594,2026-02-05,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10595,2026-01-20,Mumbai,Masala Chai 250g,3,1047,Instagram,Delivered
KC-10596,2026-02-26,Mumbai,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10597,2026-03-19,Pune,Masala Chai 250g,1,349,Instagram,Delivered
KC-10598,2026-04-11,Bengaluru,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10599,2026-01-09,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10600,2026-02-26,Mumbai,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10601,2026-02-25,Mumbai,Elaichi Chai 250g,2,798,Website,Delivered
KC-10602,2026-01-12,Mumbai,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10603,2026-02-22,Delhi,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10604,2026-03-26,Bengaluru,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10605,2026-01-30,Delhi,Masala Chai 250g,2,₹698,Website,Delivered
KC-10606,2026-02-26,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10607,2026-03-31,Bengaluru,Kulhad Gift Box,1,"₹1,299",Website,Returned
KC-10608,2026-01-09,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10609,2026-03-01,Bengaluru,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10610,2026-03-09,Mumbai,Masala Chai 250g,4,1396,Instagram,Delivered
KC-10611,2026-01-17,Mumbai,Masala Chai 250g,2,₹698,Website,Delivered
KC-10612,2026-03-01,Delhi,Masala Chai 250g,1,349,Instagram,Delivered
KC-10613,2026-03-30,Mumbai,Masala Chai 250g,4,"₹1,396",Amazon,Delivered
KC-10614,2026-04-19,Bengaluru,Elaichi Chai 250g,3,"₹1,197",Amazon,Delivered
KC-10615,2026-01-10,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10616,2026-01-29,Delhi,Masala Chai 250g,2,698,Website,Delivered
KC-10617,2026-02-28,Bengaluru,Masala Chai 250g,2,₹698,Website,Delivered
KC-10618,2026-03-05,Mumbai,Elaichi Chai 250g,2,798,Website,Delivered
KC-10619,2026-01-05,Mumbai,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10620,2026-01-16,Mumbai,Elaichi Chai 250g,3,"₹1,197",Instagram,Delivered
KC-10621,2026-04-11,Bengaluru,Elaichi Chai 250g,2,₹798,Website,Delivered
KC-10622,2026-01-27,Bengaluru,Elaichi Chai 250g,4,"₹1,596",Instagram,Delivered
KC-10623,2026-02-14,Mumbai,Masala Chai 250g,4,"₹1,396",Website,Delivered
KC-10624,2026-01-08,Mumbai,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10625,2026-04-05,Pune,Masala Chai 250g,3,"₹1,047",Amazon,Delivered
KC-10626,2026-03-09,Mumbai,Elaichi Chai 250g,1,399,Website,Delivered
KC-10627,2026-03-28,Mumbai,Masala Chai 250g,1,349,Amazon,Delivered
KC-10628,2026-01-28,Pune,Kulhad Gift Box,2,2598,Instagram,Delivered
KC-10629,2026-01-11,Mumbai,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10630,2026-04-09,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10631,2026-03-08,Mumbai,Masala Chai 250g,1,349,Website,Delivered
KC-10632,2026-03-24,Bengaluru,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10633,2026-04-28,Mumbai,Masala Chai 250g,4,"₹1,396",Website,Delivered
KC-10634,2026-02-21,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10635,2026-02-08,Bengaluru,Kulhad Gift Box,2,2598,Amazon,Delivered
KC-10636,2026-04-20,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10637,2026-01-12,Bengaluru,Masala Chai 250g,3,"₹1,047",Amazon,Returned
KC-10638,2026-04-08,Mumbai,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10639,2026-01-21,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10640,2026-02-15,Mumbai,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10641,2026-02-12,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Returned
KC-10642,2026-01-19,Pune,Kulhad Gift Box,3,"₹3,897",Amazon,Delivered
KC-10643,2026-03-07,Mumbai,Masala Chai 250g,1,₹349,Website,Delivered
KC-10644,2026-04-16,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10645,2026-03-07,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10646,2026-04-07,Mumbai,Kulhad Gift Box,4,"₹5,196",Amazon,Delivered
KC-10647,2026-04-19,Mumbai,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10648,2026-01-12,Mumbai,Elaichi Chai 250g,1,399,Website,Delivered
KC-10649,2026-01-03,Pune,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10650,2026-01-29,Mumbai,Masala Chai 250g,3,"₹1,047",Amazon,Delivered
KC-10651,2026-03-11,Delhi,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10652,2026-04-02,Mumbai,Masala Chai 250g,3,"₹1,047",Website,Delivered
KC-10653,2026-01-24,Bengaluru,Masala Chai 250g,1,349,Website,Delivered
KC-10654,2026-03-11,Mumbai,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10655,2026-01-05,Delhi,Kulhad Gift Box,3,"₹3,897",Instagram,Delivered
KC-10656,2026-03-17,Mumbai,Masala Chai 250g,4,"₹1,396",Website,Delivered
KC-10657,2026-03-09,Bengaluru,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10658,2026-03-22,Bengaluru,Masala Chai 250g,2,₹698,Website,Returned
KC-10659,2026-01-28,Delhi,Masala Chai 250g,2,698,Website,Delivered
KC-10660,2026-02-19,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10661,2026-01-13,Mumbai,Elaichi Chai 250g,2,798,Website,Delivered
KC-10662,2026-02-19,Bengaluru,Masala Chai 250g,1,₹349,Website,Delivered
KC-10663,2026-01-18,Bengaluru,Masala Chai 250g,2,₹698,Website,Delivered
KC-10664,2026-02-04,Mumbai,Masala Chai 250g,2,698,Instagram,Delivered
KC-10665,2026-02-01,Bengaluru,Masala Chai 250g,3,"₹1,047",Instagram,Delivered
KC-10666,2026-04-21,Mumbai,Kulhad Gift Box,3,"₹3,897",Website,Returned
KC-10667,2026-03-17,Mumbai,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10668,2026-04-26,Mumbai,Elaichi Chai 250g,3,"₹1,197",Website,Returned
KC-10669,2026-04-07,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10670,2026-02-22,Mumbai,Elaichi Chai 250g,2,798,Website,Delivered
KC-10671,2026-04-06,Mumbai,Kulhad Gift Box,3,3897,Amazon,Delivered
KC-10672,2026-03-05,Delhi,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10673,2026-03-05,Mumbai,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10674,2026-03-13,Mumbai,Elaichi Chai 250g,4,"₹1,596",Website,Delivered
KC-10675,2026-02-01,Delhi,Kulhad Gift Box,1,1299,Amazon,Delivered
KC-10676,2026-02-05,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10677,2026-02-20,Mumbai,Masala Chai 250g,2,₹698,Amazon,Returned
KC-10678,2026-03-01,Bengaluru,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10679,2026-01-04,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10680,2026-03-02,Bengaluru,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10681,2026-01-07,Delhi,Elaichi Chai 250g,4,"₹1,596",Instagram,Delivered
KC-10682,2026-02-27,Pune,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10683,2026-04-29,Bengaluru,Elaichi Chai 250g,4,"₹1,596",Website,Delivered
KC-10684,2026-04-28,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10685,2026-03-31,Delhi,Kulhad Gift Box,4,"₹5,196",Website,Delivered
KC-10686,2026-01-23,Bengaluru,Masala Chai 250g,3,1047,Instagram,Delivered
KC-10687,2026-01-31,Mumbai,Masala Chai 250g,2,698,Amazon,Delivered
KC-10688,2026-01-25,Pune,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10689,2026-01-20,Delhi,Masala Chai 250g,4,1396,Website,Delivered
KC-10690,2026-02-12,Mumbai,Kulhad Gift Box,4,"₹5,196",Instagram,Returned
KC-10691,2026-04-22,Mumbai,Elaichi Chai 250g,1,399,Amazon,Delivered
KC-10692,2026-01-07,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10693,2026-04-12,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Delivered
KC-10694,2026-03-30,Pune,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10695,2026-04-07,Mumbai,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10696,2026-02-05,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10697,2026-03-06,Delhi,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10698,2026-04-22,Bengaluru,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10699,2026-02-14,Pune,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10700,2026-02-08,Mumbai,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10701,2026-02-15,Mumbai,Elaichi Chai 250g,2,₹798,Instagram,Delivered
KC-10702,2026-02-13,Mumbai,Masala Chai 250g,1,349,Instagram,Returned
KC-10703,2026-01-15,Bengaluru,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10704,2026-03-07,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10705,2026-03-24,Mumbai,Masala Chai 250g,1,349,Amazon,Delivered
